,Course_Code,Course_Name,Description
94,AMSTUD145,Silicon Valley,"Silicon Valley. The site and source of vibrant economic growth and technological innovation. A disruptive force in social, economic, and political systems. An interface between technology and academia, with the the quirky influence of the counterculture in the background. A surprisingly agile cultural behemoth that has reshaped human relationships and hierarchies of all sorts. A brotopia built on the preferences and predilections of rich, geeky white guys. A location with perpetually sunny skies and easy access to beaches and mountains. This seminar will unpack the myths surrounding Silicon Valley by exploring the people, places, industries, and ideas that have shaped it from post-WWII to the present. It takes an interdisciplinary approach to the subject and considers region's history and development; the products of Silicon Valley, from computers and circuit boards to search algorithms and social networks; and Silicon Valley's depictions in photography, film, television, and literature."
95,ANTHRO132D,Thinking Technology: Anthropological Perspectives,"What role does technology play in society, and vice-versa? This course considers the question from an anthropological perspective, pairing different conceptual models of social-technical relations (Social Constructivism, Actor-Network Theory, Cyborg Anthropology) with real world examples. Through such technologies as factory machines, trains, Bakelite, slot machines, computers, missiles, and PET scanners, students will gain insights both on how the social suffuses the mundane objects around us, and how technologies have radically redefined how we see the world."
96,COMM120W,The Rise of Digital Culture,"(Graduate students register for 220. COMM 120W is offered for 5 units, COMM 220 is offered for 4 units.From Snapchat to artificial intelligence, digital systems are reshaping our jobs, our democracies, our love lives, and even what it means to be human. But where did these media come from? And what kind of culture are they creating? To answer these questions, this course explores the entwined development of digital technologies and post-industrial ways of living and working from the Cold War to the present. Topics will include the historical origins of digital media, cultural contexts of their deployment and use, and the influence of digital media on conceptions of self, community, and state. Priority to juniors, seniors, and graduate students."
97,COMM124,"Truth, Trust, and Tech","(Graduate students enroll in COMM 224. COMM 124 is offered for 5 units, COMM 224 is offered for 4 units.) NOTE: offered only at Stanford in New York winter quarter 2022-23. Deception is one of the most significant and pervasive social phenomena of our age. Lies range from the trivial to the very serious, including deception between friends and family, in the workplace, and in security and intelligence contexts. At the same time, information and communication technologies have pervaded almost all aspects of human communication, from everyday technologies that support interpersonal interactions to, such as email and instant messaging, to more sophisticated systems that support organization-level interactions. Given the prevalence of both deception and communication technology in our personal and professional lives, an important set of questions have recently emerged about how humans adapt their deceptive practices to new communication and information technologies, including how communication technology affects the practice of lying and the detection of deception, and whether technology can be used to identify deception."
98,COMM145,Personality and Digital Media,"Personality describes people's characteristic patterns of thinking, feeling, and behaving. This course will introduce students to the ways personality is expressed in digital devices (e.g., computers, smartphones) and platforms (e.g., social networks, virtual worlds). Readings and lectures will introduce students to theories of personality, the practice of assessing personality, and the broader societal implications of having mediated personalities. Course assignments will require students to apply the course concepts to explore personality expression in various digitally mediated contexts."
99,COMM154,The Politics of Algorithms,"(Graduate students enroll in 254. COMM 154 is offered for 5 units, COMM 254 is offered for 4 units.) Algorithms have become central actors in today's digital world. In areas as diverse as social media, journalism, education, healthcare, and policing, computing technologies increasingly mediate communication processes. This course will provide an introduction to the social and cultural forces shaping the construction, institutionalization, and uses of algorithms. In so doing, we will explore how algorithms relate to political issues of modernization, power, and inequality. Readings will range from social scientific analyses to media coverage of ongoing controversies relating to Big Data. Students will leave the course with a better appreciation of the broader challenges associated with researching, building, and using algorithms."
100,COMM166,Virtual People,"(Graduate students register for COMM 266. COMM 166 is offered for 5 units, COMM 266 is offered for 4 units.) The concept of virtual people or digital human representations; methods of constructing and using virtual people; methodological approaches to interactions with and among virtual people; and current applications. Viewpoints including popular culture, literature, film, engineering, behavioral science, computer science, and communication. Note for PhD students in programs other than Communication: instructor permission required."
101,COMM186W,"Media, Technology, and the Body","(Graduate and coterm students must register for COMM 286. COMM 186W is only for undergraduates and is offered for 5 units, COMM 286 is offered for 4 units.) This course considers major themes in the cultural analysis of the body in relation to media technologies. How do media and information technologies shape our understanding of the body and concepts of bodily difference such as race, gender, and disability? We will explore both classic theories and recent scholarship to examine how technologies mediate the body and bodily practices in various domains, from entertainment to engineering, politics to product design."
102,COMM230A,Digital Civil Society,"A vibrant civil society is a core component of democratic life. 'Civil society' includes social movements, grassroots activism, philanthropists, unions, nonprofits, NGOs, charities, informal associational life, and cooperatives, among others. In this course, students interrogate how civil society is evolving in a world of pervasive digitization and data collection. Using human rights as an anchor, we will explore how digital technologies perpetuate long-standing threats and create new challenges for digital rights. We will also analyze how communities develop strategies to mitigate these harms and actively promote values, organizations, regulation, and design that support the equitable and emancipatory use of technology. Topics covered in the class include: Mis-disinformation and racism/sexism, Algorithmic bias, Tech workers unions, Immigration and technology, Covid-related digital surveillance.The course is global in scope (we will read authors and study cases from America, Europe, Asia, and Africa), taught by a multidisciplinary team (communication, computational social science, education, history, law), and is committed to a syllabus centering on the scholarship, expertise, and voices of marginalized communities."
103,COMM230B,Digital Civil Society,"Digital technologies have fundamentally changed how people come together to make change in the world, a sphere of action commonly called 'civil society'. How did this happen, what's being done about it, and what does it mean for democratic governance and collective action in the future? This course analyzes the opportunities and challenges technology presents to associational life, free expression, individual privacy, and collective action. Year-long seminar sequence for advanced undergraduates or master's students. Each quarter may be taken independently. Winter Quarter focuses on the 2000s and considers the emergence of social media platforms, the rise of mobile connectivity, institutional shifts in journalism, and major developments in intellectual property, state surveillance, and digital activism."
104,COMM230C,Digital Civil Society,"Digital technologies have fundamentally changed how people come together to make change in the world, a sphere of action commonly called 'civil society'. How did this happen, what's being done about it, and what does it mean for democratic governance and collective action in the future? This course analyzes the opportunities and challenges technology presents to associational life, free expression, individual privacy, and collective action. Year-long seminar sequence for advanced undergraduates or master's students. Each quarter may be taken independently. Spring focuses on emergent trends related to democracy and associational life, from the 2010s and into the future. Topics include the Arab Spring, global political propaganda, 'born digital' organizations, the development of electronic governments, and biotechnologies."
105,DESINST215,The Design of Data,"Our world is increasingly complex and laden with many forms of measurable data. Infographics abound, but whether explicit or not, the stories they tell are all designed. In this hands-on course, students will learn to use mapping and design techniques to sort and synthesize data, unlock insights and communicate information. Students will practice finding insight from both qualitative and quantitative information. Take this course if you are interested in learning how to navigate through and create for the complicated intersection of data and design. This class is for students of all experience levels. Note: this is not a data analytics or statistics class. Admission by application. See dschool.stanford.edu/classes for more information."
106,DESINST240,Designing Machine Learning: A Multidisciplinary Approach,"As machine learning makes its way into all kinds of products, systems, spaces, and experiences, we need to train a new generation of creators to harness the potential of machine learning and also to understand its implications. This class invites a mix of designers, data scientists, engineers, business people, and diverse professionals of all backgrounds to help create a multi-disciplinary environment for collaboration. Through a mixture of hands-on guided investigations and design projects, students will learn to design systems of machine learning that create lasting value within their human contexts and environments. Application required, see dschool.stanford.edu/classes for more information."
107,ENGLISH184D,"Race, Gender, and Literary Digital Humanities","This course will introduce students to the ways that the practices of literary text mining can help us to understand, study, and shape our understanding of identity. Each week, we will spend one class discussing critical works by theorists like Toni Morrison, and Linda Martín Alcoff and digital scholars like Roopika Risam and Ted Underwood; we will then spend the second class of the week learning and practicing digital methods in programs like Python and Gephi. Students do not need any programming knowledge to take this class."
108,ENGR131,Ethical Issues in Engineering,"Fundamental ethical responsibilities of engineers. Ethical responsibilities to society, employers, colleagues, and clients; ethics, cost-benefit-risk analysis, and safety; informed consent; ethical responsibilities of radical engineering design; the ethics of whistleblowing; ethical issues engineers face as expert witnesses, consultants, and managers; ethical issues in engineering research, design, testing, and manufacturing; ethical issues arising from engineering work in foreign countries; and ethical issues arising from the social, cultural, and environmental contexts of contemporary engineering work. Contemporary case studies. Enrollment limited to 24. Each student seeking admission to the class must send an application to the instructor at mcginn@stanford.edu by 5 PM, Monday, September 24. The application must contain her/his name, year of study, major, and case, limited to 300 words, for why s/he should be given a slot in the seminar. Students will be emailed whether they have been admitted by 9AM, Tuesday, September 25."
109,ENGR248,Principled Entrepreneurial Decisions,Examines how leaders tackle significant events that occur in high-growth entrepreneurial companies. Students prepare their minds for the difficult entrepreneurial situations that they will encounter in their lives in whatever their chosen career. Cases and guest speakers discuss not only the business rationale for the decisions taken but also how their principles affected those decisions. The teaching team brings its wealth of experience in both entrepreneurship and VC investing to the class. Previous entrepreneurship coursework or experience preferred. Limited enrollment. Admission by application: http://web.stanford.edu/class/engr248/apply.
110,HISTORY244F,Innovations in Inclusive Design in Tech,"This d-school class prototypes concepts and methods for inclusive design and considers intersecting social factors in designing new technologies. Examples of products (including objects, services, and systems) gone awry will serve as prompts for design activities, challenges, and discussions on the challenges designers face when addressing the different needs of consumers. These include, but are not limited to: gender, race/ethnicity, socio-economic status, age, geographic location, sustainability, and other ""intersectional"" factors. Class sessions mix use case explorations with design methodology, design thinking abilities, and guest speakers from technology, design, and academia. Students will be asked to work in interdisciplinary teams on several design challenges, culminating in the development of a toolkit for inclusive design. Methods will interact in crucial ways to create ""intersectional thinking,"" i.e., to consider how intersectional factors work together to require new solutions in design. Topics include: algorithms, media, virtual assistants, crash test dummies, robotics, health technologies, assistive technologies, tech for developing worlds, urban/rural design, software development. By application only. Applications due 3/13. You can find the application here: https://docs.google.com/forms/d/1-QOYhKxbM7Ul-O-UpFdtARGipaVYlxzUbz0mZvV2Awo/edit."
111,LAW4039,Regulating Artificial Intelligence,"Even just a generation ago, interest in ""artificial intelligence"" (AI) was largely confined to academic computer science, philosophy, engineering research and development efforts, and science fiction. Today the term is widely understood to encompass not only long-term efforts to simulate the kind of general intelligence humans reflect, but also fast-evolving technologies (such as elaborate convolutional neural networks leveraging vast amounts of data) increasingly affecting finance, transportation, health care, national security, advertising and social media, and a variety of other fields. Conceived for students with interest in law, business, public policy, design, and ethics, this highly interactive course surveys current and emerging legal and policy problems related to how law structures humanity's relationship to artificially-constructed intelligence.  To deepen students' understanding of current and medium-term problems in this area, the course explores definitions and foundational concepts associated with ""artificial intelligence,"" likely directions for the evolution of AI, and different types of legally-relevant concerns raised by those developments and by the use of existing versions of AI.  We will consider distinct settings where regulation of AI is emerging as a challenge or topic of interest, including autonomous vehicles, autonomous weapons, AI in social media/communications platforms, and systemic AI safety problems; doctrines and legal provisions relevant to the development, control, and deployment of AI such as the European Union's General Data Protection Regulation; the connection between the legal treatment of manufactured intelligence and related bodies of existing law, such as administrative law, torts, constitutional principles, criminal justice, and international law; and new legal arrangements that could affect the development and use of AI.  We will also cover topics associated with the development and design of AI as they relate to the legal system, such as measuring algorithmic bias and explainability of AI models.  Cross-cutting themes will include: how law affects the way important societal decisions are justified, the balance of power and responsibility between humans and machines in different settings, the incorporation of multiple values into AI decision making frameworks, the interplay of norms and formal law, the technical complexities that may arise as society scales deployment of AI systems, and similarities and differences to other domains of human activity raising regulatory trade-offs and affected by technological change.  Note: The course is designed both for students who want a survey of the field and lack any technical knowledge, as well as for students who want to gain tools and ideas to deepen their existing interest or background in the topic. Students with longer-term interest in or experience with the subject are welcome to do a more technically-oriented paper or project in connection with this class. But technical knowledge or familiarity with AI is not a prerequisite, as various optional readings and some in-class material will help provide necessary background. Requirements: The course involves a mix of lectures, in-class activities, and student-led discussion and presentations. Requirements include attendance, participation in planning and conducting at least one student-led group presentation or discussion, two short 3-5 pp. response papers for other class sessions, and either an exam or a 25-30 pp. research paper.   After the term begins, students accepted into the course can transfer, with consent of the instructor, from section (01) into section (02), which meets the R requirement. CONSENT APPLICATION: We will try to accommodate as many people as possible with interest in the course. But to facilitate planning and confirm your level of interest, please fill out an application (available at https://bit.ly/2MJIem9) by TBA.  Applications received after the deadline will be considered on a rolling basis if space is available.  The application is also available on the SLS website (Click Courses at the bottom of the homepage and then click Consent of Instructor Forms)."
112,ME177,Global Engineers' Education,"A project based course for those who would like to use their engineering backgrounds to address real world challenges faced by underserved communities globally. In direct collaboration with an underserved community from a rural village in India, students will develop engineering solutions to the challenge of sanitation and hygiene. Focus will be on working with the community rather than for them. Concepts covered will include designing with what designers care about at the center, articulating and realizing individual and community aspirations, ethics of engaging with underserved communities, and methodology of working sustainably with an underserved community."
113,MS&E193,Technology and National Security,"Explores the relation between technology, war, and national security policy with reference to current events.  Course focuses on current U.S. national security challenges and the role that technology plays in shaping our understanding and response to these challenges, including the recent Russia-Ukraine conflict. Topics include: interplay between technology and modes of warfare; dominant and emerging technologies such as nuclear weapons, cyber, sensors, stealth, and biological; security challenges to the U.S.; and the U.S. response and adaptation to new technologies of military significance. "
114,MS&E231,Introduction to Computational Social Science,"With a vast amount of data now collected on our online and offline actions -- from what we buy, to where we travel, to who we interact with -- we have an unprecedented opportunity to study complex social systems. This opportunity, however, comes with scientific, engineering, and ethical challenges. In this hands-on course, we develop ideas from computer science and statistics to address problems in sociology, economics, political science, and beyond. We cover techniques for collecting and parsing data, methods for large-scale machine learning, and principles for effectively communicating results. To see how these techniques are applied in practice, we discuss recent research findings in a variety of areas. Prerequisites: introductory course in applied statistics, and experience coding in R, Python, or another high-level language."
115,MS&E234,Data Privacy and Ethics,"This course engages with ethical challenges in the modern practice of data science.  The three main focuses are data privacy, personalization and targeting algorithms, and online experimentation. The focus on privacy raises both practical and theoretical considerations. As part of the module on experimentation, students are required to complete the Stanford IRB training for social and behavioral research. The course assumes a strong technical familiarity with the practice of machine learning and and data science. Limited enrollment. Recommended: 221, 226, CS 161, or equivalents."
116,MS&E254,The Ethical Analyst,"We raise awareness of ethically sensitive situations and provide principles and tools for forming coherent ethical judgments regarding individual, government, or organizational actions.  Students learn ethical theories and tools from which they create their own personal ethical codes and test them against established ethical principles, class discussion, homework, class presentations, and situations from work and life.  The course addresses personal life, human action and relations in society, technology, medicine, coercion, harming, stealing, imposition of risk, deception, and other ethical issues."
117,POLISCI150A,Data Science for Politics,"Data science is quickly changing the way we understand and and engage in the political process.  In this course we will develop fundamental techniques of data science and apply them to large political datasets on elections, campaign finance, lobbying, and more.  The objective is to give students the skills to carry out cutting edge quantitative political studies in both academia and the private sector.  Students with technical backgrounds looking to study politics quantitatively are encouraged to enroll."
118,PSYCH215,"Mind, Culture, and Society","Social psychology from the context of society and culture. The interdependence of psychological and sociocultural processes: how sociocultural factors shape psychological processes, and how psychological systems shape sociocultural systems. Theoretical developments to understand social issues, problems, and polity. Works of Baldwin, Mead, Asch, Lewin, Burner, and contemporary theory and empirical work on the interdependence of psychology and social context as constituted by gender, ethnicity, race, religion, and region of the country and the world."
119,PUBLPOL103F,Ethics of Truth in a Post-Truth World,"This course will explore changing notions of truth in a world in which technology, global risks, and societal developments are blurring the boundaries of humanity and boring through traditional notions of nation states, institutions, and human identity. We will ask one over-arching question: does truth matter anymore? If so, why and how? If not, why not? Either way, how does truth relate to ethical decision-making by individuals and institutions and to an ethical society? How does truth relate to a life well lived? Six themes will organize our exploration of more specific topics: science and subjectivity; identity; memory; authenticity; religious truth; and truth and the law. Examples of topics to be explored include, among others: truth and technology (from deep fakes to home devices); white supremacy;  DNA testing and the 'identify as' movement, and identity; University history (Rhodes, Georgetown slavery, Yale Calhoun College...); the connections among truth, memory, and history; new questions in gender and racial identity; Chinese beautifying app Meitu and other social media ""truth modifiers""; the sharing economy; the impact of AI and DNA testing sites on legal truth. Scotty McClennan will explore truth through major literary characters and the impact of religion on truth. We will consider how we determine and verify the truth; how we ""do"" truth; the role of truth in ethical decision-making; the importance of truth to effective ethical policy; and the relationship of the truth to a life well lived. An analytically rigorous short final paper in lieu of exam. This three-credit seminar may be taken as a stand-alone course or may accompany  PUBLPOL 134 Ethics on the Edge to full the Public Policy major ethics requirement. The course is open to undergraduate and graduate students. Undergraduates will not be at a disadvantage. Everyone will be challenged. Distinguished Career Institute Fellows are welcome and should contact Dr. Susan Liautaud directly at susanliautaud@googlemail.com. Students wishing to take the course who are unable to sign up within the enrollment limit should contact Dr. Susan Liautaud at susanliautaud@googlemail.com. *Public Policy majors taking the course to complete the core requirements and students taking the course for Ways credit must obtain a letter grade. Other students may take the course for a letter grade or C/NC. To satisfy a Ways requirement, this course must be taken for at least 3 units."
120,CS399,Independent Project,"Letter grade only. This course is for masters students only. Undergraduate students should enroll in CS199; PhD students should enroll in CS499. Letter grade; if not appropriate, enroll in CS399P. Register using the section number associated with the instructor. Prerequisite: consent of instructor."
121,CS221,Artificial Intelligence: Principles and Techniques,"Artificial intelligence (AI) has had a huge impact in many areas, including medical diagnosis, speech recognition, robotics, web search, advertising, and scheduling. This course focuses on the foundational concepts that drive these applications. In short, AI is the mathematics of making good decisions given incomplete information (hence the need for probability) and limited computation (hence the need for algorithms). Specific topics include search, constraint satisfaction, game playing, Markov decision processes, graphical models, machine learning, and logic. Prerequisites: CS 103 or CS 103B/X, CS 106B or CS 106X, CS 109, and CS 161 (algorithms, probability, and object-oriented programming in Python). We highly recommend comfort with these concepts before taking the course, as we will be building on them with little review."
122,CS223A,Introduction to Robotics,"Robotics foundations in modeling, design, planning, and control. Class covers relevant results from geometry, kinematics, statics, dynamics, motion planning, and control, providing the basic methodologies and tools in robotics research and applications. Concepts and models are illustrated through physical robot platforms, interactive robot simulations, and video segments relevant to historical research developments or to emerging application areas in the field. Recommended: matrix algebra."
123,CS224N,Natural Language Processing with Deep Learning,"Methods for processing human language information and the underlying computational properties of natural languages. Focus on deep learning approaches: understanding, implementing, training, debugging, visualizing, and extending neural network models for a variety of language understanding tasks. Exploration of natural language tasks ranging from simple word level and syntactic processing to coreference, question answering, and machine translation. Examination of representative papers and systems and completion of a final project applying a complex neural network model to a large-scale NLP problem. Prerequisites: calculus and linear algebra; CS124, CS221, or CS229."
124,CS224S,Spoken Language Processing,"Introduction to spoken language technology with an emphasis on dialogue and conversational systems.  Deep learning and other methods for automatic speech recognition, speech synthesis, affect detection, dialogue management, and applications to digital assistants and spoken language understanding systems.  Prerequisites: CS124, CS221, CS224N, or CS229."
125,CS224U,Natural Language Understanding,"Project-oriented class focused on developing systems and algorithms for robust machine understanding of human language. Draws on theoretical concepts from linguistics, natural language processing, and machine learning. Topics include lexical semantics, distributed representations of meaning, relation extraction, semantic parsing, sentiment analysis, and dialogue agents, with special lectures on developing projects, presenting research results, and making connections with industry. Prerequisites: one of LINGUIST 180/280, CS 124, CS 224N, or CS 224S."
126,CS224W,Machine Learning with Graphs,"Many complex data can be represented as a graph of relationships between objects. Such networks are a fundamental tool for modeling complex social, technological, and biological systems. This course focuses on the computational, algorithmic, and modeling challenges specific to the analysis of massive graphs. By means of studying the underlying graph structure and its features, students are introduced to machine learning techniques and data mining tools apt to reveal insights on a variety of networks. Topics include: representation learning and Graph Neural Networks; algorithms for the World Wide Web; reasoning over Knowledge Graphs; influence maximization; disease outbreak detection, social network analysis. Prerequisites: CS109, any introductory course in Machine Learning."
127,CS228,Probabilistic Graphical Models: Principles and Techniques,"Probabilistic graphical modeling languages for representing complex domains, algorithms for reasoning using these representations, and learning these representations from data. Topics include: Bayesian and Markov networks, extensions to temporal modeling such as hidden Markov models and dynamic Bayesian networks, exact and approximate probabilistic inference algorithms, and methods for learning models from data. Also included are sample applications to various domains including speech recognition, biological modeling and discovery, medical diagnosis, message encoding, vision, and robot motion planning. Prerequisites: basic probability theory and algorithm design and analysis."
128,CS229,Machine Learning,"Topics: statistical pattern recognition, linear and non-linear regression, non-parametric methods, exponential family, GLMs, support vector machines, kernel methods, deep learning, model/feature selection, learning theory, ML advice, clustering, density estimation, EM, dimensionality reduction, ICA, PCA, reinforcement learning and adaptive control, Markov decision processes, approximate dynamic programming, and policy search. Prerequisites: knowledge of basic computer science principles and skills at a level sufficient to write a reasonably non-trivial computer program in Python/NumPy to the equivalency of CS106A, CS106B, or CS106X, familiarity with probability theory to the equivalency of CS 109, MATH151, or STATS 116, and familiarity with multivariable calculus and linear algebra to the equivalency of MATH51 or CS205."
129,CS231A,Computer Vision: From 3D Reconstruction to Recognition,"(Formerly 223B) An introduction to the concepts and applications in computer vision. Topics include: cameras and projection models, low-level image processing methods such as filtering and edge detection; mid-level vision topics such as segmentation and clustering; shape reconstruction from stereo, as well as high-level vision tasks such as object recognition, scene recognition, face detection and human motion categorization. Prerequisites: linear algebra, basic probability and statistics."
130,CS231N,Deep Learning for Computer Vision,"Computer Vision has become ubiquitous in our society, with applications in search, image understanding, apps, mapping, medicine, drones, and self-driving cars. Core to many of these applications are visual recognition tasks such as image classification and object detection. Recent developments in neural network approaches have greatly advanced the performance of these state-of-the-art visual recognition systems. This course is a deep dive into details of neural-network based deep learning methods for computer vision. During this course, students will learn to implement, train and debug their own neural networks and gain a detailed understanding of cutting-edge research in computer vision. We will cover learning algorithms, neural network architectures, and practical engineering tricks for training and fine-tuning networks for visual recognition tasks. Prerequisites: Proficiency in Python; CS131 and CS229 or equivalents; MATH21 or equivalent, linear algebra."
131,CS324,Understanding and Developing Large Language Models,"The field of natural language processing (NLP) has been transformed by massive pre-trained language models.  They form the basis of all state-of-the-art systems across a wide range of tasks and have shown an impressive ability to generate fluent text and perform few-shot learning.  At the same time, these models are hard to understand and give rise to new ethical and scalability challenges.  In this course, students will learn the fundamentals about the modeling, theory, ethics, and systems aspects of massive language models, as well as gain hands-on experience working with them."
132,CS237A,Principles of Robot Autonomy I,"Basic principles for endowing mobile autonomous robots with perception, planning, and decision-making capabilities. Algorithmic approaches for robot perception, localization, and simultaneous localization and mapping; control of non-linear systems, learning-based control, and robot motion planning; introduction to methodologies for reasoning under uncertainty, e.g., (partially observable) Markov decision processes. Extensive use of the Robot Operating System (ROS) for demonstrations and hands-on activities. Prerequisites: CS 106A or equivalent, CME 100 or equivalent (for linear algebra), and CME 106 or equivalent (for probability theory)."
133,CS237B,Principles of Robot Autonomy II,"This course teaches advanced principles for endowing mobile autonomous robots with capabilities to autonomously learn new skills and to physically interact with the environment and with humans. It also provides an overview of different robot system architectures. Concepts that will be covered in the course are: Reinforcement Learning and its relationship to optimal control, contact and dynamics models for prehensile and non-prehensile robot manipulation, imitation learning and human intent inference, as well as different system architectures and their verification. Students will earn the theoretical foundations for these concepts and implement them on mobile manipulation platforms. In homeworks, the Robot Operating System (ROS) will be used extensively for demonstrations and hands-on activities. Prerequisites: CS106A or equivalent, CME 100 or equivalent (for linear algebra), CME 106 or equivalent (for probability theory), and AA 171/274."
134,CS238,Decision Making under Uncertainty,"This course is designed to increase awareness and appreciation for why uncertainty matters, particularly for aerospace applications. Introduces decision making under uncertainty from a computational perspective and provides an overview of the necessary tools for building autonomous and decision-support systems. Following an introduction to probabilistic models and decision theory, the course will cover computational methods for solving decision problems with stochastic dynamics, model uncertainty, and imperfect state information. Topics include: Bayesian networks, influence diagrams, dynamic programming, reinforcement learning, and partially observable Markov decision processes. Applications cover: air traffic control, aviation surveillance systems, autonomous vehicles, and robotic planetary exploration. Prerequisites: basic probability and fluency in a high-level programming language."
135,CS205L,Continuous Mathematical Methods with an Emphasis on Machine Learning,"A survey of numerical approaches to the continuous mathematics used throughout computer science with an emphasis on machine and deep learning. Although motivated from the standpoint of machine learning, the course will focus on the underlying mathematical methods including computational linear algebra and optimization, as well as special topics such as automatic differentiation via backward propagation, momentum methods from ordinary differential equations, CNNs, RNNs, etc. Written homework assignments and (straightforward) quizzes focus on various concepts; additionally, students can opt in to a series of programming assignments geared towards neural network creation, training, and inference. (Replaces CS205A, and satisfies all similar requirements.) Prerequisites: Math 51; Math104 or MATH113 or equivalent or comfort with the associated material."
136,CS225A,Experimental Robotics,"Hands-on laboratory course experience in robotic manipulation. Topics include robot kinematics, dynamics, control, compliance, sensor-based collision avoidance, and human-robot interfaces. Second half of class is devoted to final projects using various robotic platforms to build and demonstrate new robot task capabilities. Previous projects include the development of autonomous robot behaviors of drawing, painting, playing air hocket, yoyo, basketball, ping-pong or xylophone. Prerequisites: 223A or equivalent."
137,CS227B,General Game Playing,"A general game playing system accepts a formal description of a game to play it without human intervention or algorithms designed for specific games. Hands-on introduction to these systems and artificial intelligence techniques such as knowledge representation, reasoning, learning, and rational behavior. Students create GGP systems to compete with each other and in external competitions. Prerequisite: programming experience. Recommended: 103 or equivalent."
138,CS229M,Machine Learning Theory,"How do we use mathematical thinking to design better machine learning methods? This course focuses on developing mathematical tools for answering these questions. This course will cover fundamental concepts and principled algorithms in machine learning, particularly those that are related to modern large-scale non-linear models. The topics include concentration inequalities, generalization bounds via uniform convergence, non-convex optimization, implicit regularization effect in deep learning, and unsupervised learning and domain adaptations. Prerequisites: linear algebra ( MATH 51 or CS 205), probability theory (STATS 116, MATH 151 or CS 109), and machine learning ( CS 229, STATS 229, or STATS 315A)."
139,CS230,Deep Learning,"Deep Learning is one of the most highly sought after skills in AI. We will help you become good at Deep Learning. In this course, you will learn the foundations of Deep Learning, understand how to build neural networks, and learn how to lead successful machine learning projects. You will learn about Convolutional networks, RNNs, LSTM, Adam, Dropout, BatchNorm, Xavier/He initialization, and more. You will work on case studies from healthcare, autonomous driving, sign language reading, music generation, and natural language processing. You will master not only the theory, but also see how it is applied in industry. You will practice all these ideas in Python and in TensorFlow, which we will teach. AI is transforming multiple industries. After this course, you will likely find creative ways to apply it to your work. This class is taught in the flipped-classroom format. You will watch videos and complete in-depth programming assignments and online quizzes at home, then come in to class for advanced discussions and work on projects. This class will culminate in an open-ended final project, which the teaching team will help you on. Prerequisites: Familiarity with programming in Python and Linear Algebra (matrix / vector multiplications). CS 229 may be taken concurrently."
140,CS233,Geometric and Topological Data Analysis,"Mathematical and computational tools for the analysis of data with geometric content, such images, videos, 3D scans, GPS traces -- as well as for other data embedded into geometric spaces. Linear and non-linear dimensionality reduction techniques. Graph representations of data and spectral methods. The rudiments of computational topology and persistent homology on sampled spaces, with applications. Global and local geometry descriptors allowing for various kinds of invariances. Alignment, matching, and map/correspondence computation between geometric data sets. Annotation tools for geometric data. Geometric deep learning on graphs and sets. Function spaces and functional maps. Networks of data sets and joint learning for segmentation and labeling. Prerequisites: discrete algorithms at the level of CS161; linear algebra at the level of Math51 or CME103."
141,CS235,Computational Methods for Biomedical Image Analysis and Interpretation,"The latest biological and medical imaging modalities and their applications in research and medicine. Focus is on computational analytic and interpretive approaches to optimize extraction and use of biological and clinical imaging data for diagnostic and therapeutic translational medical applications. Topics include major image databases, fundamental methods in image processing and quantitative extraction of image features, structured recording of image information including semantic features and ontologies, indexing, search and content-based image retrieval. Case studies include linking image data to genomic,  phenotypic and clinical data, developing representations of image phenotypes for use in medical decision support and research applications and the role that biomedical imaging informatics plays in new questions in biomedical science. Includes a project. Enrollment for 3 units requires instructor consent. Prerequisites: programming ability at the level of CS 106A, familiarity with statistics, basic biology. Knowledge of Matlab or Python highly recommended."
142,CS236,Deep Generative Models,"Generative models are widely used in many subfields of AI and Machine Learning. Recent advances in parameterizing these models using neural networks, combined with progress in stochastic optimization methods, have enabled scalable modeling of complex, high-dimensional data including images, text, and speech. In this course, we will study the probabilistic foundations and learning algorithms for deep generative models, including Variational Autoencoders (VAE), Generative Adversarial Networks (GAN), and flow models. The course will also discuss application areas that have benefitted from deep generative models, including computer vision, speech and natural language processing, and reinforcement learning. Prerequisites: Basic knowledge about machine learning from at least one of CS 221, 228, 229 or 230. Students will work with computational and mathematical models and should have a basic knowledge of probabilities and calculus. Proficiency in some programming language, preferably Python, required."
143,CS239,Advanced Topics in Sequential Decision Making,"Survey of recent research advances in intelligent decision making for dynamic environments from a computational perspective. Efficient algorithms for single and multiagent planning in situations where a model of the environment may or may not be known. Partially observable Markov decision processes, approximate dynamic programming, and reinforcement learning. New approaches for overcoming challenges in generalization from experience, exploration of the environment, and model representation so that these methods can scale to real problems in a variety of domains including aerospace, air traffic control, and robotics. Students are expected to produce an original research paper on a relevant topic. Prerequisites: AA 228/CS 238 or CS 221."
